"indicateurs","Unit","Date","Value"
"KADJALLA","","2010","7956"
"TCHORE","","2010","3840"
"BAGA","","2010","6463"
"TENEGA","","2010","3994"
"DEFALE","","2010","6838"
"KPAHA","","2010","3499"
"SIOU","","2010","9809"
"POUDA","","2010","3132"
"MASSEDENA","","2010","2944"
"KERAN","","2010","94061"
"KANDE","","2010","22497"
"KOUTOUGOU","","2010","3237"
"WARENGO","","2010","5375"
"NADOBA","","2010","13778"
"AKPONTE","","2010","5722"
"PESSIDE","","2010","7164"
"OSSACRE","","2010","13283"
"HELOTA","","2010","10366"
"ATALOTE","","2010","12639"
"DANKPEN","","2010","130723"
"GUERIN KOUKA","","2010","32696"
"NAWARE","","2010","12804"
"NANDOUTA","","2010","9593"
"BAPURE","","2010","17842"
"KOUTCHICHEOU","","2010","2859"
"NAMON","","2010","6314"
"NATCHIBORE","","2010","9138"
"NATCHITIKPI","","2010","5764"
"NAOMPOCH","","2010","6947"
"KOULFIEKOU","","2010","6919"
"KATCHAMBA","","2010","6598"
"KIDJABOUN","","2010","13249"
"BASSAR","","2010","119717"
"BASSAR","","2010","37422"
"KALANGA","","2010","5528"
"BAGHAN","","2010","8506"
"DIMORI","","2010","9706"
"BITCHABE","","2010","5754"
"BANDJELI","","2010","13574"
"KABOU","","2010","20383"
"MANGA","","2010","5022"
"SANDA KAGBANDA","","2010","8457"
"SANDA AFOHOU","","2010","5365"
"ASSOLI","","2010","51491"
"BAFILO","","2010","20469"
"BOULADE","","2010","4478"
"SOUDOU","","2010","12420"
"KOUMONDE","","2010","2896"
"ALEDJO","","2010","5336"
"DAKO (DAOUDE)","","2010","5892"
"SAVANES","","2010","828224"
"TONE","","2010","286029"
"DAPAONG","","2010","94535"
"NANERGOU","","2010","10477"
"NAMARE","","2010","9105"
"NAKI-OUEST","","2010","18730"
"TAMI","","2010","15309"
"LOTOGOU + WARKAMBOU","","2010","17107"
"NIOUKPOURMA","","2010","14174"
"PANA","","2010","11094"
"BIDJENGA","","2010","7537"
"TOAGA","","2010","9134"
"KORBONGOU","","2010","20159"
"LOUANGA","","2010","10972"
"KANTINDI","","2010","19726"
"SANFATOUTE","","2010","6872"
"KOURIENTRE","","2010","9670"
"POISSONGUI","","2010","5313"
"NATIGOU","","2010","6115"
"CINKASSE","","2010","78592"
"CINKASSE","","2010","30623"
"BOADE","","2010","5120"
"GNOAGA","","2010","1032"
"GOULOUNGOUSSI","","2010","3305"
"BIANKOURI","","2010","6884"
"TIMBOU","","2010","17249"
"NADJOUNDI","","2010","7499"
"SAM-NABA","","2010","6880"
"KPENDJAL","","2010","155091"
"MANDOURI","","2010","15647"
"TAMBIGOU","","2010","5803"
"KOUNDJOARE","","2010","12675"
"POGNO","","2010","10527"
"PAPRI/KPENDJAGA","","2010","8566"
"NAMOUNDJOGA","","2010","25502"
"TAMBONGA","","2010","6933"
"NAKI-EST","","2010","28988"
"NAYEGA","","2010","4412"
"OGARO","","2010","8585"
"BORGOU","","2010","27453"
"OTI","","2010","190543"
"MANGO","","2010","29800"
"SADORI","","2010","5065"
"SAGBIEBOU","","2010","13067"
"GANDO","","2010","26247"
"MOGOU","","2010","19747"
"TCHAMONGA","","2010","7975"
"TCHANAGA","","2010","5095"
"NAGBENI","","2010","19836"
"BARKOISSI","","2010","13834"
"LOKO","","2010","6631"
"GALANGASHIE","","2010","9796"
"FARE","","2010","3212"
"KOUMONGOU","","2010","5345"
"NALI","","2010","7226"
"TAKPAMBA","","2010","8734"
"KOUNTOIRE","","2010","8933"
"TANDJOARE","","2010","117969"
"BOGOU","","2010","10875"
"NANDOGA","","2010","5463"
"LOKO","","2010","4317"
"BOULOGOU","","2010","6249"
"PLIGOU","","2010","6272"
"BOMBOUAKA","","2010","8263"
"GOUNDOGA","","2010","5321"
"SISSIAK","","2010","7868"
"NANO","","2010","11791"
"TAMPIALIME","","2010","12658"
"MAMPROUG","","2010","5454"
"BAGOU","","2010","1940"
"DOUKPERGOU","","2010","7320"
"SANGOU","","2010","1540"
"LOKPANO","","2010","5036"
"TAMONGUE","","2010","17602"
